评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
167218,3803,蔡晓卫,2023-01-15 06:14:09,0,1,1,满绩辽！开心飞了\n\n蔡老师人美心善(救命老师好白好白，好美腻)很温婉但又有风骨、个性\n\n笨人就是认真参与课堂，认真参与讨论，认真完成作业，考试前看一看就满绩了。\n\n只能说有付出才有回报，那些没怎么努力付出的人，凭什么要求老师给高分？
176267,3874,吕成祯,2023-06-28 07:48:37,0,1,1,SNP
75980,3893,刘召峰,2018-03-23 03:39:07,1,1,0,挺不错
105227,3903,张立程,2019-04-08 01:15:59,0,9,9,早晨8:30上课，老师9:00才到教室。不紧不慢的去打瓶开水，回来插U盘选PPT，讲了一行，觉得不行:咱们换个PPT讲啊……难道这也可以随便换主题嘛……100多号人默默等老师迟到表演45分钟。老师一句不好意思迟到了，都没有……
115014,3903,张立程,2019-07-14 05:47:00,2,4,2,事情多给分差
118702,3903,张立程,2019-10-31 01:44:59,-9,1,10,讲得很好，直面问题不遮遮掩掩，直面问题，客观理性。
120340,3903,张立程,2019-11-29 07:27:25,-1,0,1,emmm
148232,3903,张立程,2022-01-12 02:16:48,3,7,4,老师上课我是听不明白的，感觉逻辑线并不清晰，讲课的语速也不大友好（也有可能是自己的问题🙈）但最后的给分本菜鸡比较满意，不过听说这个老师很绩杀，不调平时分，我也算是冒了一次险。不管怎么样还是慎入吧。
151103,3903,张立程,2022-02-23 05:07:06,5,6,1,快润吧
165693,3903,张立程,2023-01-09 09:21:11,7,7,0,呃呃不太认同老师的某些观点，人格魅力实在不太行…\n\n我感觉事挺多的
165893,3903,张立程,2023-01-10 08:49:18,-3,0,3,水一水
166306,3903,张立程,2023-01-12 01:27:57,5,9,4,你会在忙完一大堆事情之后，一脸懵的收获一个很低的绩点。。
172061,3903,张立程,2023-04-18 09:20:33,2,3,1,事情很多，很离谱，令人无语
188636,3903,张立程,2024-01-19 12:38:28,8,9,1,12点25分下课，26分点名…🪝🪨中的🪝🪨
189320,3903,张立程,2024-01-23 07:50:47,3,4,1,真的很离谱啊\n\n做完一堆事情拿到一个很低的绩点。。。\n\n呃呃呃避雷吧还是
199453,3903,张立程,2024-09-24 02:42:21,6,6,0,这位老师简直是个畜生!上课拖拖拉拉，不仅浪费我们的时间，还毫无尊重可言，真是恶心透顶!他的三观扭曲得让人想吐，根本不配做教师!故意给学生打低分，均绩低的让人不敢想象，明显是想让我们难堪和绝望!而且布置的作业多得离谱，根本不考虑我们的承受能力，简直是在逼我们崩溃!这种人只会给学校带来羞耻，真希望学校能把他踢出去，别再让他祸害学生了!\n\ngpt写的，我觉得很满意
200080,3903,张立程,2024-10-12 11:11:00,3,3,0,一大坨，别上
201532,3903,张立程,2024-11-04 06:22:09,2,2,0,很有意思的老师。上课努力改进学生睡眠，进度能关照到最最迟钝的学生，作业活动既有广度又有深度，集百家精粹于一身，这么综合的老师，说实话是不多见的。更为难得的是阅读书目，完美诠释了古人所说的“书中自有黄金屋”，《毛泽东选集》《邓小平文选》《习近平思想》任君选择，可以轻松从中辨认出“老师是个神金”这个不争的事实。同时老师致力于发扬关心学生的师德，不仅随机点名来监督学生听课效率，还体察民情，不辞辛苦的关心学生在自己的本子上写什么。^—^
204210,3903,张立程,2024-11-25 03:30:49,2,2,0,真是史
208514,3903,张立程,2024-12-28 15:47:14,3,3,0,真的很让人无语的一个老师，作业比别的老师多一倍不止还有网上平台，最恐怖的是完全不通知，就刚开学说过一次后续不管了。上课去不去都一样，节节课点名，唯一好的是数字，去听课有利于改签睡眠。什么为什么给两分，因为助教xjj人还是不错的，老师是✔🪨，选了这辈子有了
208688,3903,张立程,2024-12-31 01:56:51,0,1,1,点名、事多，期末还查笔记，真不知道什么毛病
208920,3903,张立程,2025-01-03 11:29:39,3,3,0,快跑快跑快跑 刚入学不知道可以退掉以后再学中途汽修也错过了后悔一辈子 那么多好的史纲老师预置在这算我倒霉
210365,3903,张立程,2025-01-09 03:59:15,-5,1,6,给分还行
215080,3903,张立程,2025-02-20 15:56:02,1,1,0,路边一条 沙沟玩意
218397,3903,张立程,2025-04-23 07:02:16,0,0,0,爹味重，，，
