评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
73697,166,凌君,2018-02-02 16:46:22,1,3,2,干货偏少，讲课非常热情
103839,166,凌君,2019-03-06 07:45:11,6,7,1,高分子构筑学神课，绝对值得一上，虽然英文但是给你足够时间听懂
108591,166,凌君,2019-05-29 07:01:02,3,7,4,虽然我菜，但老师真的好。
112905,166,凌君,2019-07-05 09:44:41,4,5,1,别问，吹爆，强推
116395,166,凌君,2019-09-10 01:32:38,5,6,1,凌老师天下第一！强推计算化学导论
122103,166,凌君,2020-02-13 11:00:18,15,17,2,凌老师是一个真正有师德的老师！Respect
155187,166,凌君,2022-06-09 06:54:03,4,6,2,计算化学导论最后一节课补分真的好
197993,166,凌君,2024-08-23 01:14:27,0,2,2,很好玩的两门课，收货很多，给分也好。想要减肥也是强推，一学期因为这两门暴瘦16斤（bushi）
216230,166,凌君,2025-03-12 14:53:44,1,1,0,上课≠科研
23123,473,宋义虎,2016-03-18 10:34:46,0,2,2,因材施教，如沐春风。理论和实践功底深厚。
142385,473,宋义虎,2021-11-11 02:45:44,0,1,1,不喜欢
49055,505,孙景志,2017-03-23 00:21:14,1,3,2,讨厌这个老师，没有PPT，手写的字又不清楚，根本不管下面的学生有没有听懂，只顾自己讲
80113,505,孙景志,2018-06-20 06:20:39,2,4,2,讲课声音较轻，第三排以外基本没声音\n\n\n\n基本照本宣科，他表示上课内容他也是第一次学\n\n\n\n实践课时间较坑，别的课翘课过去吧\n\n\n\n（微笑
145597,505,孙景志,2021-12-30 11:59:13,0,3,3,老师的大学写作太棒啦！不知道专业课怎么样，总之自然写作课很吸引人，讲的很有意思，能学到东西，事也少
167781,505,孙景志,2023-01-19 04:39:12,2,2,0,大学写作被正太到3，笑
168192,505,孙景志,2023-02-01 09:16:03,1,1,0,额，大学写作被绩杀啦
214511,505,孙景志,2025-02-10 08:58:28,1,1,0,思维方法课可谓是奇思妙想。嗯，颇有生搬硬套之感，说实话没听个明白。给分很低很低很低很低，注意避雷。\n\n\n\n孙老师科研水平还是挺不错的，算是国内率先开展量子点研究的老师。
164533,1042,傅智盛,2022-12-21 13:04:12,0,0,0,老师是好老师，很负责人也挺好，但拜托我们大四上的课有必要一直讲文献吗，建议老师参考一下倪旭峰老师的ppt
24772,1048,高超,2017-01-03 05:56:33,-2,7,9,坑B坑B坑B！！！
24782,1048,高超,2016-05-03 14:29:16,5,14,9,开头第一句：慎选！文科生远离！理工科如非对纳米或高分子材料感兴趣也慎选！老师要求相当高，需要看英文文献，比较花时间。当然如果对课程内容感兴趣确实可以学到东西（前提是感兴趣）。
39985,1048,高超,2017-03-01 10:30:32,-3,1,4,，，，
40369,1048,高超,2017-01-03 05:51:45,-1,4,5,挺好的，谁上谁知道
49376,1048,高超,2017-04-08 13:50:19,0,3,3,选对组，认真准备能学到很多东西。实在不喜欢的还是尽早退课吧…这门课重要的是互相之间的交流和同老师的交流。
50538,1048,高超,2017-05-03 10:29:28,14,18,4,老师人很好，还会在讲知识的时候穿插一些科研的素质熏陶，关键还是看兴趣，如果感兴趣会学到很多，而且能增强读文献的能力。
87963,1048,高超,2018-10-19 00:59:05,0,1,1,很认真
104347,1048,高超,2019-03-18 11:07:24,2,2,0,。。。
123320,1048,高超,2020-06-03 00:38:54,9,13,4,高超老师讲述的不仅是高分子的前沿科技，还有许多做科研的心得，值得一听！因为这次疫情，PPT课堂讨论没有了，作业就是2次PPT，好好做分数不会很低。利益相关：4.8/94.
123970,1048,高超,2020-06-18 10:20:57,-5,4,9,我也是这次疫情期间上的他的课，线上直播大家都明白，很多东西是做不了的，只能做两个ppt。我虽然上课从没听，作为靠复制粘贴，仍然混到了3.6，感觉值了
123972,1048,高超,2020-06-18 10:45:01,5,6,1,高超老师真的非常优秀！讲课认真，能学到东西。就是会比较硬核。有两次作业，ppt形式，好好做加上课认真听，积极回答问题几点就会很高！
140916,1048,高超,2021-09-18 00:16:28,0,2,2,所有课程最低绩点，还是通识，无话说
217475,1048,高超,2025-04-17 00:48:36,0,1,1,春学期的，最后4.5，高老师人很和蔼，关注大家的科研素养，考核方式就是几次点名（有点频繁）+最后每个人都要做10分钟汇报，虽然没什么太惊艳的，但是值得一选
218045,1048,高超,2025-04-19 14:39:11,0,1,1,太烂了，慎选，绩杀
218340,1048,高超,2025-04-23 00:02:40,0,1,1,文科生慎选
87410,1490,朱利平,2018-09-28 10:35:34,0,2,2,老师人很好，上课很风趣。
154409,1490,朱利平,2022-06-01 04:17:53,4,6,2,通识课论文ddl一拍脑袋提前10天，还要求查重率低于百分之10，只想说老师我们水平太低，够不上您的要求😅
